article_id,topic_id
454014,0
454020,0
454021,0
454022,0
454023,0
454024,0
454025,0
454234,1
454235,1
454236,1
454237,1
454959,0
457318,0
457770,0
457771,0
457772,0
457773,0
457774,0
457775,0
457776,0
457777,0
457778,0
457779,0
457780,0
457781,0
457782,0
457783,0
457784,0
457785,0
457786,0
457811,0
457812,0
457813,0
457814,0
457815,0
457816,0
457817,0
457818,0
457819,0
457820,0
457821,0
457823,0
457824,0
457825,0
457826,0
457827,0
457828,0
457829,0
457830,0
457831,0
457832,0
457833,0
457834,0
457835,0
457836,0
457837,0
457838,0
457839,0
457840,0
457841,0
457842,0
457843,0
457844,0
457845,0
457846,0
457847,0
457848,0
457849,0
457850,0
457851,0
457852,0
457853,0
457854,0
457855,0
457856,0
457857,0
457858,0
457859,0
457860,0
457861,0
457862,0
457863,0
457864,0
457865,0
457866,0
457867,0
457868,0
457869,0
457870,0
457871,0
457872,0
457873,0
457874,0
457875,0
457876,0
457877,0
457878,0
457879,0
457880,0
457881,0
457882,0
457883,0
457884,0
457885,0
457886,0
457887,0
457888,0
457889,0
457890,0
457891,0
457892,0
457893,0
457894,0
457895,0
457896,0
457897,0
457898,0
457899,0
457900,0
457901,0
457902,0
457903,0
457904,0
457905,0
457906,0
457907,0
457908,0
457909,0
457910,0
457911,0
457912,0
457913,0
457914,0
457915,0
457916,0
457917,0
457918,0
457919,0
457920,0
457921,0
457922,0
457923,0
457924,0
457925,0
457926,0
457927,0
457928,0
457929,0
457930,0
457931,0
457932,0
457937,0
457938,0
457939,0
457940,0
457941,0
457942,0
457943,0
457944,0
457945,0
457946,0
457947,0
457948,0
457949,0
457950,0
457951,0
457952,0
457953,0
457954,0
457955,0
457956,0
457957,0
457958,0
457959,0
457960,0
457961,0
457962,0
457963,0
457964,0
457965,0
457966,0
457967,0
457968,0
457969,0
457970,0
457971,0
457972,0
457973,0
457974,0
457975,0
457976,0
457977,0
457978,0
457979,0
457980,0
457981,0
457982,0
457983,0
457984,0
457985,0
457986,0
457987,0
457988,0
457989,0
457990,0
457991,0
457992,0
457993,0
457994,0
457995,0
457996,0
457997,0
457998,0
457999,0
458000,0
458001,0
458002,0
458003,0
458004,0
458005,0
458006,0
458007,0
458008,0
458009,0
458010,0
458011,0
458012,0
458013,0
458014,0
458015,0
458016,0
458017,0
458018,0
458019,0
458020,0
458021,0
458022,0
458023,0
458024,0
458025,0
458026,0
458027,0
458028,0
458029,0
458030,0
458031,0
458032,0
458033,0
458034,0
458035,0
458036,0
458037,0
458038,0
458039,0
458040,0
458041,0
458042,0
458043,0
458044,0
458045,0
458046,0
458047,0
458048,0
458049,0
458050,0
458051,0
458052,0
458053,0
458054,0
458055,0
458056,0
458057,0
458058,0
458059,0
458060,0
458061,0
458062,0
458063,0
458064,0
458065,0
458066,0
458067,0
458068,0
458069,0
458070,0
458071,0
458072,0
458073,0
458074,0
458075,0
458076,0
458077,0
458078,0
458079,0
458080,0
458081,0
458082,0
458083,0
458084,0
458085,0
458086,0
458087,0
458088,0
458089,0
458090,0
458091,0
458092,0
458093,0
458094,0
458095,0
458096,0
458097,0
458098,0
458099,0
458100,0
458101,0
458102,0
458103,0
458104,0
458105,0
458106,0
458107,0
458108,0
458109,0
458110,0
458111,0
458112,0
458113,0
458114,0
458115,0
458116,0
458117,0
458118,0
458119,0
458120,0
458121,0
458122,0
458123,0
458124,0
458125,0
458126,0
458127,0
458128,0
458129,0
458130,0
458131,0
458132,0
458133,0
458134,0
458135,0
458136,0
458137,0
458138,0
458139,0
458140,0
464267,1
464268,1
464269,1
464270,1
464271,1
464272,1
464273,1
464274,1
464275,1
464276,1
464277,1
464278,1
464279,1
464280,1
464281,1
464282,1
464283,1
464284,1
464285,1
464286,1
464287,1
464288,1
464289,1
464290,1
464291,1
464292,1
464293,1
464294,1
464295,1
464296,1
464297,1
464298,1
464299,1
464300,1
464301,1
464302,1
464303,1
464304,1
464305,1
464306,1
464307,1
464433,1
464434,1
464435,1
464436,1
464437,1
464438,1
464439,1
464440,1
464441,1
464442,1
464443,1
464444,1
464445,1
464446,1
464447,1
464448,1
464449,1
464450,1
464451,1
464452,1
464453,1
464454,1
464455,1
464456,1
464457,1
464458,1
464459,1
464460,1
464461,1
464462,1
464463,1
464464,1
464465,1
464466,1
464467,1
464468,1
464469,1
464470,1
464471,1
464472,1
464473,1
464603,1
464604,1
464605,1
464606,1
464607,1
464608,1
464609,1
464610,1
464611,1
464612,1
464613,1
464614,1
464615,1
464616,1
464617,1
464618,1
464619,1
464620,1
464621,1
464622,1
464623,1
464624,1
464625,1
464626,1
464627,1
464628,1
464629,1
464630,1
464631,1
464632,1
464633,1
464634,1
464635,1
464636,1
464637,1
464638,1
464639,1
464640,1
464641,1
464642,1
464643,1
464644,1
464773,1
464774,1
464775,1
464777,1
464778,1
464779,1
464780,1
464781,1
464782,1
464783,1
464784,1
466096,1
466097,1
466098,1
466099,1
466100,1
466101,1
466229,1
466230,1
466231,1
466232,1
466233,1
466234,1
466235,1
466236,1
466237,1
466238,1
466239,1
466240,1
466241,1
466242,1
466243,1
466244,1
466245,1
466246,1
466247,1
466248,1
466249,1
466250,1
466251,1
466252,1
466253,1
466254,1
466255,1
466256,1
466257,1
466258,1
466259,1
466260,1
466261,1
466262,1
466263,1
466264,1
466265,1
466266,1
466267,1
