institute_id,country_id
0,84
1,55
2,66
3,55
4,225
5,61
6,123
7,99
8,13
9,101
10,101
11,18
12,45
13,184
14,99
15,53
16,45
17,99
18,53
19,218
20,225
21,106
22,218
23,53
24,52
25,225
26,53
27,53
28,101
29,71
30,161
31,225
32,35
33,192
34,52
35,45
36,91
37,211
38,91
39,225
40,35
41,51
42,52
43,101
44,55
45,35
46,172
47,225
48,40
49,40
50,35
51,71
52,71
53,71
54,71
55,71
56,28
57,53
58,53
59,45
60,218
61,53
62,225
63,12
64,35
65,91
66,186
67,45
68,218
69,53
70,118
71,45
72,53
73,99
74,53
75,225
76,91
77,53
78,45
79,101
80,101
81,101
82,101
83,101
84,101
85,101
86,101
87,101
88,101
89,101
90,101
91,101
92,101
93,101
94,101
95,101
96,101
97,101
98,101
99,101
100,64
101,64
102,101
103,174
104,104
105,12
106,55
107,104
108,225
109,218
110,218
111,12
112,109
113,53
114,118
115,188
116,211
117,192
118,19
119,53
120,110
121,188
122,225
123,118
124,218
125,110
126,118
127,118
128,53
129,173
130,225
131,123
132,161
133,225
134,192
135,1
136,161
137,13
138,52
139,1
140,166
141,53
142,35
143,35
144,35
145,218
146,225
147,13
148,162
149,84
150,45
151,45
152,45
153,193
154,221
155,221
156,101
157,221
158,221
159,193
160,225
161,35
162,225
163,110
164,118
165,28
166,28
167,53
168,45
169,106
170,64
171,35
172,182
173,182
174,225
175,225
176,13
177,35
178,13
179,53
180,161
181,45
182,225
183,35
184,53
185,35
186,45
187,45
188,193
189,53
190,218
191,106
192,106
193,118
194,45
195,45
196,45
197,104
198,45
199,35
200,162
201,193
202,45
203,101
204,242
205,45
206,53
207,53
208,53
209,53
210,84
211,53
212,161
213,53
214,53
215,161
216,53
217,53
218,53
219,53
220,12
221,66
222,101
223,99
224,99
225,182
226,91
227,161
228,218
229,110
230,45
231,45
232,45
233,28
234,28
235,28
236,28
237,28
238,28
239,28
240,28
241,28
242,118
243,13
244,28
245,28
246,45
247,10
248,64
249,43
250,64
251,46
252,28
253,179
254,28
255,179
256,98
257,225
258,64
259,225
260,13
261,35
262,161
263,84
264,166
265,53
266,53
267,225
268,53
269,162
270,40
271,225
272,53
273,53
274,225
275,35
276,10
277,35
278,225
279,166
280,242
281,45
282,55
283,84
284,53
285,225
286,53
287,225
288,53
289,225
290,225
291,53
292,225
293,161
294,35
295,53
296,99
297,53
298,53
299,53
300,66
301,53
302,91
303,12
304,84
305,109
306,53
307,225
308,53
309,12
310,53
311,53
312,106
313,225
314,53
315,225
316,130
317,53
318,53
319,53
320,153
321,148
322,225
323,35
324,53
325,53
326,13
327,106
328,35
329,64
330,53
331,35
332,13
333,51
334,225
335,53
336,53
337,166
338,35
339,225
340,53
341,84
342,106
343,53
344,13
345,35
346,53
347,106
348,12
349,106
350,35
351,225
352,53
353,225
354,225
355,53
356,225
357,225
358,13
359,96
360,60
361,13
362,110
363,35
364,106
365,53
366,110
367,161
368,53
369,53
370,35
371,12
372,166
373,174
374,225
375,35
376,13
377,35
378,174
379,53
380,53
381,225
382,40
383,40
384,71
385,35
386,35
387,19
388,192
389,161
390,161
391,166
392,110
393,99
394,35
395,45
396,45
397,45
398,45
399,118
400,35
401,218
402,45
403,218
