id,name
0,AUEB
1,Aalborg University
2,Aalto University
3,Aarhus University
4,Aberystwyth University
5,American University in Cairo
6,American University of Beirut
7,Ariel University
8,Australian National University
9,BITS Pilani
10,BITS Pilani-Goa
11,BUET
12,BUPT
13,Babeș-Bolyai University
14,Bar-Ilan University
15,Bauhaus University Weimar
16,Beihang University
17,Ben-Gurion University of the Negev
18,Bielefeld University
19,Bilkent University
20,Birkbeck University of London
21,Bocconi University
22,Boğaziçi University
23,Brandenburg University of Technology
24,Brno University of Technology
25,Brunel University London
26,Bundeswehr University Munich
27,CISPA Helmholtz Center
28,CMI
29,CRIStAL
30,CWI
31,Cardiff University
32,Carleton University
33,Chalmers/GU
34,Charles University
35,Chinese Academy of Sciences
36,Chinese University of Hong Kong
37,Chulalongkorn University
38,City University of Hong Kong
39,City University of London
40,Concordia University
41,Cyprus University of Technology
42,Czech Technical University
43,DAIICT
44,DTU
45,Dalhousie University
46,De La Salle University
47,Durham University
48,EPFL
49,ETH Zurich
50,ETS Montreal
51,EURECOM
52,Ecole Normale Superieure
53,Ecole Normale Superieure de Cachan
54,Ecole Normale Superieure de Lyon
55,Ecole Normale Superieure de Rennes
56,Federal University of Rio Grande
57,Freie Universitaet Berlin
58,Friedrich Schiller University Jena
59,Fudan University
60,Galatasaray University
61,Goethe University Frankfurt
62,Goldsmiths University of London
63,Graz University of Technology
64,HEC Montreal
65,HKUST
66,HSE University
67,HUST
68,Hacettepe University
69,Hamburg University of Technology
70,Hanyang University
71,Harbin Institute of Technology
72,Hasso Plattner Institute
73,Hebrew University of Jerusalem
74,Heidelberg University
75,Heriot-Watt University
76,Hong Kong Baptist University
77,Humboldt University of Berlin
78,Hunan University
79,IIIT Bangalore
80,IIIT Delhi
81,IIIT Hyderabad
82,IISc Bangalore
83,IIT (BHU) Varanasi
84,IIT Bhubaneswar
85,IIT Bombay
86,IIT Delhi
87,IIT Gandhinagar
88,IIT Goa
89,IIT Guwahati
90,IIT Hyderabad
91,IIT Indore
92,IIT Jodhpur
93,IIT Kanpur
94,IIT Kharagpur
95,IIT Madras
96,IIT Mandi
97,IIT Patna
98,IIT Roorkee
99,IIT Ropar
100,IMDEA Networks Institute
101,IMDEA Software Institute
102,IMSc
103,IPI PAN
104,IPM
105,IST Austria
106,IT University of Copenhagen
107,IUST
108,Imperial College London
109,Istanbul Technical University
110,Izmir Institute of Technology
111,JKU Linz
112,JUST
113,Jacobs University Bremen
114,KAIST
115,KAUST
116,KMUTNB
117,KTH Royal Institute of Technology
118,KU Leuven
119,Karlsruhe Institute of Technology
120,Keio University
121,King Abdulaziz University
122,King's College London
123,Korea University
124,Koç University
125,Kyoto University
126,Kyung Hee University
127,Kyungpook National University
128,LMU Munich
129,LUMS
130,Lancaster University
131,Lebanese American University
132,Leiden University
133,Loughborough University
134,Lund University
135,MBZUAI
136,Maastricht University
137,Macquarie University
138,Masaryk University
139,Masdar Institute
140,Massey University
141,Max Planck Society
142,McGill University
143,McMaster University
144,Memorial University of Newfoundland
145,Middle East Technical University
146,Middlesex University
147,Monash University
148,NTNU
149,NTUA
150,NWPU
151,NYU Shanghai
152,Nanjing University
153,Nanyang Technological University
154,National Cheng Kung University
155,National Chiao Tung University
156,National Institute of Technology Silchar
157,National Taiwan University
158,National Tsing Hua University
159,National University of Singapore
160,Newcastle University
161,Ontario Tech University
162,Open University UK
163,Osaka University
164,POSTECH
