author_id,country_id
31,101
171,101
216,101
662,101
674,101
677,101
704,101
737,101
814,101
968,101
986,101
999,101
1115,101
1135,101
1329,101
1355,101
1359,101
1485,101
1708,101
1857,101
1882,101
1888,101
1985,101
1989,101
2161,101
2307,101
2483,101
2588,101
2636,101
2849,101
2918,101
3056,101
3147,101
3164,101
3440,101
3546,101
4056,101
4510,101
4832,101
4863,101
4971,101
5148,101
5329,101
5427,101
5533,101
5738,101
5965,101
5992,101
6103,101
6287,101
7003,101
7163,101
7283,101
7321,101
7519,101
8307,101
8379,101
8729,101
8871,101
8950,101
8958,101
9258,101
9273,101
9731,101
9841,101
9961,101
10022,101
10100,101
10219,101
10274,101
10285,101
10380,101
10432,101
10494,101
10722,101
10929,101
10933,101
11004,101
11060,101
11241,101
11246,101
11287,101
11513,101
11540,101
11567,101
11687,101
11714,101
11721,101
12402,101
12410,101
12539,101
12640,101
12665,101
12716,101
12958,101
13068,101
13070,101
13150,101
13278,101
13297,101
13635,101
13666,101
13674,101
13791,101
13946,101
14056,101
14147,101
14194,101
14391,101
14400,101
14733,101
15008,101
15055,101
15499,101
15809,101
15974,101
16617,101
17405,101
17627,101
18682,101
20449,101
20454,101
20678,101
20699,101
20767,101
21133,101
21842,101
21934,101
22022,101
22066,101
22178,101
22264,101
22265,101
22289,101
22391,101
22727,101
22857,101
22931,101
23216,101
23343,101
23494,101
23580,101
24071,101
24223,101
24291,101
24311,101
24317,101
24399,101
24418,101
24505,101
24522,101
24728,101
24869,101
24933,101
25020,101
25243,101
25276,101
25329,101
25330,101
25390,101
25421,101
25468,101
25531,101
25533,101
25547,101
25599,101
25634,101
25705,101
25804,101
25821,101
25865,101
26066,101
26099,101
26113,101
26118,101
26338,101
26428,101
26502,101
26581,101
26616,101
26621,101
26750,101
26826,101
26882,101
26944,101
27202,101
27337,101
27348,101
27370,101
27445,101
27697,101
27705,101
27717,101
27845,101
28279,101
28849,101
28962,101
29195,101
29568,101
29616,101
29746,101
29760,101
29792,101
30468,101
30766,101
31075,101
31220,101
31225,101
31326,101
31492,101
31994,101
32135,101
32219,101
32223,101
32314,101
32626,101
32697,101
32813,101
33052,101
33054,101
33131,101
33165,101
33187,101
33273,101
33308,101
33312,101
33521,101
33573,101
33924,101
34056,101
34400,101
34424,101
34548,101
35009,101
35030,101
35105,101
35417,101
35450,101
35545,101
35582,101
35930,101
36092,101
36107,101
36589,101
36601,101
36614,101
36692,101
36724,101
36803,101
36860,101
36971,101
37042,101
37212,101
37234,101
37313,101
37372,101
37546,101
37692,101
37714,101
37896,101
38027,101
38042,101
38080,101
38110,101
38147,101
38211,101
38557,101
38772,101
38777,101
38906,101
38924,101
38931,101
38959,101
39033,101
39059,101
39090,101
39347,101
39354,101
39429,101
39738,101
39983,101
40033,101
40035,101
40243,101
40346,101
40539,101
40558,101
41022,101
41123,101
41307,101
41701,101
41726,101
41757,101
42044,101
42158,101
42237,101
42582,101
42593,101
42700,101
42844,101
42849,101
42945,101
42971,101
43425,101
43496,101
43512,101
43547,101
43742,101
43907,101
44015,101
44109,101
44313,101
44365,101
44735,101
45052,101
45188,101
45268,101
45362,101
45389,101
45562,101
45906,101
46042,101
46114,101
46171,101
46241,101
46397,101
46507,101
46701,101
46722,101
46750,101
46942,101
47180,101
47303,101
47638,101
47698,101
47884,101
48290,101
48544,101
48566,101
48596,101
48645,101
48666,101
48714,101
48739,101
48750,101
48797,101
48808,101
48957,101
49168,101
49200,101
49406,101
49638,101
49644,101
49731,101
49846,101
50039,101
50062,101
50107,101
50168,101
50396,101
50426,101
50648,101
50652,101
50695,101
50865,101
